#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
585	ENST00000632280.1_2	chr19	+	68402	69178	68402	68402	1	68402,	69178,	0	ENSG00000282542	none	none	-1,
586	ENST00000633344.1_3	chr19	-	201346	209396	201346	201346	5	201346,201755,203870,208326,209224,	201662,201813,204065,208391,209396,	0	LINC01002	none	none	-1,-1,-1,-1,-1,
586	ENST00000631412.1_3	chr19	-	201353	204024	201353	201353	2	201353,203874,	201662,204024,	0	LINC01002	none	none	-1,-1,
586	ENST00000631484.1_3	chr19	-	201359	205598	201359	201359	5	201359,201755,203874,205169,205454,	201662,201813,204065,205227,205598,	0	LINC01002	none	none	-1,-1,-1,-1,-1,
586	ENST00000634022.1_3	chr19	-	201403	208387	201403	201403	5	201403,201636,201755,203874,208326,	201445,201662,201813,204065,208387,	0	LINC01002	none	none	-1,-1,-1,-1,-1,
586	ENST00000633773.1_3	chr19	-	201522	209379	201522	201522	5	201522,201755,203874,208326,209224,	201662,201813,204065,208391,209379,	0	LINC01002	none	none	-1,-1,-1,-1,-1,
586	ENST00000632086.1_3	chr19	-	203940	205946	203940	203940	4	203940,204833,205169,205454,	204065,205076,205227,205946,	0	LINC01002	none	none	-1,-1,-1,-1,
586	ENST00000633951.1_3	chr19	-	203950	205589	203950	203950	4	203950,204817,205169,205454,	204065,205076,205227,205589,	0	LINC01002	none	none	-1,-1,-1,-1,
586	ENST00000633363.1_3	chr19	-	203961	209316	203961	203961	5	203961,204843,205169,208326,209235,	204065,205076,205227,208391,209316,	0	LINC01002	none	none	-1,-1,-1,-1,-1,
586	ENST00000632351.1_3	chr19	-	203970	209370	203970	203970	6	203970,204843,205169,208326,208957,209235,	203994,205076,205227,208391,209014,209370,	0	LINC01002	none	none	-1,-1,-1,-1,-1,-1,
586	ENST00000634025.1_3	chr19	-	204011	209369	204011	204011	5	204011,204843,205169,208326,209224,	204065,205076,205227,208391,209369,	0	LINC01002	none	none	-1,-1,-1,-1,-1,
586	ENST00000631772.1_3	chr19	-	204920	211866	204920	204920	6	204920,205169,208326,208957,209768,211761,	205076,205227,208391,209014,209866,211866,	0	LINC01002	none	none	-1,-1,-1,-1,-1,-1,
586	ENST00000631644.1_4	chr19	-	209218	224007	209218	209218	4	209218,211761,221140,223937,	209432,211885,221205,224007,	0	LINC01002	none	none	-1,-1,-1,-1,
586	ENST00000632203.1_3	chr19	-	218834	229801	218834	218834	3	218834,221140,229635,	218917,221205,229801,	0	LINC01002	none	none	-1,-1,-1,
586	ENST00000410397.1	chr19	-	223157	223261	223157	223157	1	223157,	223261,	0	RNU6-1076P	none	none	-1,
586	ENST00000633179.1_3	chr19	-	224014	237967	224014	224014	5	224014,231256,233476,234425,237935,	224048,231315,233542,234641,237967,	0	LINC01002	none	none	-1,-1,-1,-1,-1,
586	ENST00000660559.1_3	chr19	-	232976	246544	232976	232976	5	232976,234425,237935,239129,246396,	233542,234641,238067,239239,246544,	0	LINC01002	none	none	-1,-1,-1,-1,-1,
586	ENST00000666656.1_3	chr19	-	234033	246490	234033	234033	4	234033,237935,239129,246396,	234641,238067,239239,246490,	0	LINC01002	none	none	-1,-1,-1,-1,
586	ENST00000632484.1_2	chr19	-	248550	251571	248550	248550	1	248550,	251571,	0	ENSG00000282393	none	none	-1,
587	ENST00000327790.7_4	chr19	-	281039	291185	281387	291066	6	281039,282133,282751,287473,288019,290951,	281537,282310,282809,287751,288171,291185,	0	PLPP2	cmpl	cmpl	0,0,2,0,1,0,
587	ENST00000269812.7_6	chr19	-	281042	291393	281387	288055	6	281042,282133,282751,287473,288019,291325,	281537,282310,282809,287751,288171,291393,	0	PLPP2	cmpl	cmpl	0,0,2,0,0,-1,
587	ENST00000434325.7_9	chr19	-	281042	291403	281387	291336	6	281042,282133,282751,287473,288019,291284,	281537,282310,282809,287751,288171,291403,	0	PLPP2	cmpl	cmpl	0,0,2,0,1,0,
587	ENST00000591533.1_2	chr19	+	305572	306467	305572	305572	2	305572,306056,	305703,306467,	0	ENSG00000267124	none	none	-1,-1,
587	ENST00000264819.7_5	chr19	-	305572	344796	306689	344782	14	305572,307118,308576,308800,311844,312190,313491,325634,326506,327132,327863,334399,336082,344773,	306711,307536,308665,308925,311939,312272,313643,325704,326598,327256,327989,334542,336173,344796,	0	MIER2	cmpl	cmpl	2,1,2,0,1,0,1,0,1,0,0,1,0,0,
587	ENST00000530711.3_7	chr19	-	361746	374620	362258	374384	3	361746,367064,374298,	362426,367224,374620,	0	THEG	cmpl	cmpl	0,2,0,
587	ENST00000342640.9_9	chr19	-	361746	376026	362199	375970	8	361746,367064,371204,372630,373469,373939,374298,375662,	362426,367224,371322,372700,373531,374011,374421,376026,	0	THEG	cmpl	cmpl	1,0,2,1,2,2,2,0,
587	ENST00000346878.3_7	chr19	-	362056	375970	362199	375970	7	362056,367064,371204,372630,373469,374298,375662,	362426,367224,371322,372700,373531,374421,375970,	0	THEG	cmpl	cmpl	1,0,2,1,2,2,0,
587	ENST00000662087.1_2	chr19	+	382724	387533	382724	382724	4	382724,383639,385123,386585,	382820,384729,385215,387533,	0	ENSG00000286667	none	none	-1,-1,-1,-1,
588	ENST00000591757.2_2	chr19	+	397588	399173	397588	397588	2	397588,398689,	397633,399173,	0	ENSG00000267443	none	none	-1,-1,
588	ENST00000332235.8_6	chr19	-	405444	409147	407095	408361	2	405444,409005,	408401,409147,	0	C2CD4C	cmpl	cmpl	0,-1,
588	ENST00000264554.11_5	chr19	-	416588	461033	418927	460996	13	416588,418922,422145,425096,430683,434708,436164,436379,436629,438717,438969,440861,460528,	417322,419056,422456,425231,430747,434865,436291,436431,436683,438837,439030,440932,461033,	0	SHC2	cmpl	cmpl	-1,0,1,1,0,2,1,0,0,0,2,0,0,
588	ENST00000382696.7_4	chr19	-	463345	474880	463843	474747	3	463345,467648,474620,	464364,467762,474880,	0	ODF3L2	cmpl	cmpl	1,1,0,
588	ENST00000315489.5_7	chr19	-	463360	474983	463843	474747	4	463360,467648,472393,474620,	464364,467762,472501,474983,	0	ODF3L2	cmpl	cmpl	1,1,1,0,
588	ENST00000587541.5_8	chr19	+	489175	505342	490029	504965	3	489175,501668,504744,	490039,501929,505342,	0	MADCAM1	cmpl	cmpl	0,1,1,
588	ENST00000592413.2_4	chr19	-	490045	507833	490045	490045	3	490045,501540,507375,	490353,501624,507833,	0	MADCAM1-AS1	none	none	-1,-1,-1,
588	ENST00000346144.8_2	chr19	+	496453	505340	496499	504965	4	496453,497832,498495,504744,	496551,498117,498825,505340,	0	MADCAM1	cmpl	cmpl	0,1,1,1,
588	ENST00000215637.8_4	chr19	+	496485	505343	496499	504965	5	496485,497832,498495,501668,504744,	496551,498117,498825,501929,505343,	0	MADCAM1	cmpl	cmpl	0,1,1,1,1,
588	ENST00000382683.8_2	chr19	+	496499	504965	496499	504965	3	496499,498495,504744,	496551,498825,504965,	0	MADCAM1	cmpl	cmpl	0,1,1,
588	ENST00000359315.6_4	chr19	+	507496	519654	507506	519423	2	507496,518888,	507844,519654,	0	TPGS1	cmpl	cmpl	0,2,
589	ENST00000215574.9_3	chr19	+	531759	542087	531931	541552	5	531759,535836,536242,537012,541338,	532108,535923,536340,537147,542087,	0	CDC34	cmpl	cmpl	0,0,0,2,2,
589	ENST00000592501.5_3	chr19	+	544033	549924	547341	549791	5	544033,547283,548541,548921,549629,	544126,547436,548677,549185,549924,	0	GZMM	cmpl	cmpl	-1,0,2,0,0,
589	ENST00000264553.6_5	chr19	+	544052	549922	544071	549791	5	544052,547279,548541,548921,549629,	544126,547436,548677,549185,549922,	0	GZMM	cmpl	cmpl	0,1,2,0,0,
589	ENST00000688427.2_2	chr19	-	562359	571754	562359	562359	4	562359,567455,571439,571696,	562653,567624,571596,571754,	0	BSG-AS1	none	none	-1,-1,-1,-1,
589	ENST00000590292.6_4	chr19	-	566817	571774	566817	566817	3	566817,571439,571696,	567624,571596,571774,	0	BSG-AS1	none	none	-1,-1,-1,
589	ENST00000545507.6_4	chr19	+	571276	583493	580433	582577	8	571276,579499,580378,580645,581314,582305,582513,582749,	571579,579656,580461,580782,581591,582330,582582,583493,	0	BSG	cmpl	cmpl	-1,-1,0,1,0,1,2,-1,
589	ENST00000346916.9_3	chr19	+	571309	583493	580433	582577	7	571309,580378,580645,581314,582305,582513,582749,	571579,580461,580782,581591,582330,582582,583493,	0	BSG	cmpl	cmpl	-1,0,1,0,1,2,-1,
589	ENST00000679472.1_1	chr19	+	572528	583442	580433	582838	8	572528,579499,580378,580645,581314,582305,582517,582749,	572701,579656,580461,580782,581591,582330,582582,583442,	0	BSG	cmpl	cmpl	-1,-1,0,1,0,1,2,1,
589	ENST00000680552.1_1	chr19	+	572528	583442	572634	582577	8	572528,579499,580378,580645,581314,582305,582522,582749,	572701,579656,580461,580782,581591,582330,582582,583442,	0	BSG	cmpl	cmpl	0,1,2,1,0,1,2,-1,
589	ENST00000680065.1_1	chr19	+	572528	583462	580433	582577	8	572528,579499,580378,580645,581314,582305,582513,582749,	572701,579656,580461,580782,581591,582330,582578,583462,	0	BSG	cmpl	cmpl	-1,-1,0,1,0,1,2,-1,
589	ENST00000333511.9_4	chr19	+	572595	583493	572634	582577	9	572595,577773,579499,580378,580645,581314,582305,582513,582749,	572701,578121,579656,580461,580782,581591,582330,582582,583493,	0	BSG	cmpl	cmpl	0,1,1,2,1,0,1,2,-1,
589	ENST00000353555.9_2	chr19	+	572595	583493	572634	582577	8	572595,579499,580378,580645,581314,582305,582513,582749,	572701,579656,580461,580782,581591,582330,582582,583493,	0	BSG	cmpl	cmpl	0,1,2,1,0,1,2,-1,
589	ENST00000680326.1_1	chr19	+	572609	583493	572634	582577	8	572609,579508,580378,580645,581314,582305,582513,582749,	572701,579656,580461,580782,581591,582330,582582,583493,	0	BSG	cmpl	cmpl	0,1,2,1,0,1,2,-1,
589	ENST00000618006.4_1	chr19	+	572618	583487	572634	582577	6	572618,580645,581314,582305,582513,582749,	572701,580782,581591,582330,582582,583487,	0	BSG	cmpl	cmpl	0,1,0,1,2,-1,
589	ENST00000614867.2_2	chr19	+	572622	583487	572634	582540	4	572622,579499,582519,582749,	572701,579579,582582,583487,	0	BSG	cmpl	cmpl	0,1,0,-1,
589	ENST00000573784.6_5	chr19	+	575046	583494	580433	582577	8	575046,579499,580378,580645,581314,582305,582513,582749,	575140,579656,580461,580782,581591,582330,582582,583494,	0	BSG	cmpl	cmpl	-1,-1,0,1,0,1,2,-1,
589	ENST00000576984.3_5	chr19	+	575212	583493	580433	582577	8	575212,579499,580378,580645,581314,582305,582513,582749,	575386,579656,580461,580782,581591,582330,582582,583493,	0	BSG	cmpl	cmpl	-1,-1,0,1,0,1,2,-1,
589	ENST00000251287.3_3	chr19	+	589880	617159	589945	616474	8	589880,603543,605060,607963,610258,613247,613851,615794,	590577,603967,605222,608182,610405,613488,614016,617159,	0	HCN2	cmpl	cmpl	0,2,0,0,0,0,1,1,
589	ENST00000588649.7_6	chr19	-	617220	633537	617273	633512	21	617220,617418,617569,617776,618487,618704,618996,619209,619585,619957,620364,621057,622148,622581,622820,623453,624718,625123,629539,632833,633424,	617323,617480,617655,617849,618586,618760,619110,619296,619765,620080,620487,621846,622373,622752,622985,623603,624905,625254,630168,632938,633537,	0	POLRMT	cmpl	cmpl	1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,
589	ENST00000564240.1_2	chr19	-	637104	637537	637104	637104	1	637104,	637537,	0	ENSG00000261204	none	none	-1,
589	ENST00000215530.7_5	chr19	+	639878	644373	639925	643604	3	639878,643234,643409,	640139,643338,644373,	0	FGF22	cmpl	cmpl	0,1,0,
589	ENST00000586042.6_2	chr19	+	639894	644371	639925	643612	3	639894,643234,643432,	640139,643338,644371,	0	FGF22	cmpl	cmpl	0,1,0,
73	ENST00000292363.10_6	chr19	-	647525	663214	648127	663121	9	647525,648371,648881,649678,650233,651610,652232,652825,663046,	648277,648487,648975,649748,650296,651855,652296,652884,663214,	0	RNF126	cmpl	cmpl	0,1,0,2,2,0,2,0,0,
590	ENST00000591866.2_3	chr19	+	663481	669500	663481	663481	2	663481,667211,	664511,669500,	0	ENSG00000267666	none	none	-1,-1,
590	ENST00000166139.9_3	chr19	+	676391	683385	676423	681708	5	676391,677791,680273,681332,681649,	676526,677977,680489,681560,683385,	0	FSTL3	cmpl	cmpl	0,1,1,1,1,
590	ENST00000592947.5_4	chr19	+	680706	683392	681496	681708	3	680706,681332,681649,	680879,681560,683392,	0	FSTL3	cmpl	cmpl	-1,0,1,
590	ENST00000588773.5_9	chr19	+	680714	682107	681496	681708	3	680714,681332,681649,	680774,681560,682107,	0	FSTL3	cmpl	cmpl	-1,0,1,
590	ENST00000605925.3_9	chr19	+	680750	682107	681496	681708	3	680750,681332,681649,	680812,681560,682107,	0	FSTL3	cmpl	cmpl	-1,0,1,
590	ENST00000329267.9_9	chr19	-	685545	695452	685715	695430	5	685545,686924,691857,694813,695351,	685922,687188,692002,694967,695452,	0	PRSS57	cmpl	cmpl	0,0,2,1,0,
590	ENST00000613411.4_8	chr19	-	685545	695498	685715	695430	5	685545,686924,691857,694813,695351,	685922,687188,692002,694970,695498,	0	PRSS57	cmpl	cmpl	0,0,2,1,0,
590	ENST00000338448.10_4	chr19	+	708934	748329	709146	746814	9	708934,726137,727007,727563,731094,734172,736018,740351,746284,	709151,726189,727088,727694,731245,734194,736078,740483,748329,	0	PALM	cmpl	cmpl	0,2,0,0,2,0,1,1,1,
590	ENST00000264560.11_2	chr19	+	708938	748329	709146	746814	8	708938,726137,727007,727563,731094,734172,736018,746284,	709151,726189,727088,727694,731245,734194,736078,748329,	0	PALM	cmpl	cmpl	0,2,0,0,2,0,1,1,
590	ENST00000592155.5_1	chr19	+	735029	748329	735057	746814	4	735029,736018,740351,746284,	735064,736078,740483,748329,	0	PALM	cmpl	cmpl	0,1,1,1,
590	ENST00000590161.2_1	chr19	+	735032	748329	735057	746814	3	735032,736018,746284,	735064,736078,748329,	0	PALM	cmpl	cmpl	0,1,1,
590	ENST00000215582.8_3	chr19	+	751111	764318	756946	763590	5	751111,756889,759908,761624,763500,	751171,758726,760039,761663,764318,	0	MISP	cmpl	cmpl	-1,0,1,0,0,
590	ENST00000606966.2_3	chr19	-	781001	782651	781001	781001	1	781001,	782651,	0	ENSG00000272473	none	none	-1,
590	ENST00000654818.1_1	chr19	+	782754	785920	782754	782754	3	782754,784814,785502,	783330,785116,785920,	0	LINC01836	none	none	-1,-1,-1,
591	ENST00000635647.1_1	chr19	+	797074	812327	797497	810826	14	797074,799412,803560,804035,804291,804828,805012,805491,806407,807868,808359,808545,810542,810693,	797505,799443,803636,804208,804702,804939,805187,805569,806556,807902,808452,808762,810620,812327,	0	PTBP1	cmpl	cmpl	0,2,0,1,0,0,0,1,1,0,1,1,2,2,
591	ENST00000627714.2_2	chr19	+	797391	812327	797497	810826	7	797391,799412,807868,808359,808545,810542,810693,	797505,799443,807902,808452,808762,810620,812327,	0	PTBP1	cmpl	cmpl	0,2,0,1,1,2,2,
591	ENST00000349038.8_5	chr19	+	797424	812312	797497	810826	14	797424,799412,803560,804035,804291,804531,804828,805012,806407,807868,808359,808545,810542,810693,	797505,799443,803636,804208,804438,804702,804939,805187,806556,807902,808452,808762,810620,812312,	0	PTBP1	cmpl	cmpl	0,2,0,1,0,0,0,0,1,0,1,1,2,2,
591	ENST00000356948.11_9	chr19	+	797451	812312	797497	810826	15	797451,799412,803560,804035,804291,804531,804828,805012,805491,806407,807868,808359,808545,810542,810693,	797505,799443,803636,804208,804438,804702,804939,805187,805569,806556,807902,808452,808762,810620,812312,	0	PTBP1	cmpl	cmpl	0,2,0,1,0,0,0,0,1,1,0,1,1,2,2,
591	ENST00000394601.8_3	chr19	+	797451	812312	797497	810826	15	797451,799412,803560,804035,804291,804531,804828,805012,805512,806407,807868,808359,808545,810542,810693,	797505,799443,803636,804208,804438,804702,804939,805187,805569,806556,807902,808452,808762,810620,812312,	0	PTBP1	cmpl	cmpl	0,2,0,1,0,0,0,0,1,1,0,1,1,2,2,
591	ENST00000679114.1_1	chr19	+	798427	812275	798531	810826	15	798427,799412,803560,804035,804291,804531,804828,805012,805491,806407,807868,808359,808545,810542,810693,	798545,799443,803636,804208,804438,804702,804939,805187,805569,806556,807902,808452,808762,810620,812275,	0	PTBP1	cmpl	cmpl	0,2,0,1,0,0,0,0,1,1,0,1,1,2,2,
591	ENST00000350092.8_4	chr19	+	799405	812222	803611	810826	14	799405,803560,804035,804291,804531,804828,805012,805491,806407,807868,808359,808545,810542,810693,	799443,803636,804208,804438,804702,804939,805187,805569,806556,807902,808452,808762,810620,812222,	0	PTBP1	cmpl	cmpl	-1,0,1,0,0,0,0,1,1,0,1,1,2,2,
591	ENST00000577608.1	chr19	+	804939	805001	804939	804939	1	804939,	805001,	0	MIR4745	none	none	-1,
591	ENST00000359894.6_4	chr19	-	812487	821952	812569	821559	7	812487,814433,814885,815185,815665,821484,821914,	813895,814749,815081,815327,815851,821585,821952,	0	PLPPR3	cmpl	cmpl	0,2,1,0,0,0,-1,
591	ENST00000520876.8_5	chr19	-	812487	821955	812569	821559	8	812487,814433,814691,814885,815185,815665,821484,821914,	813895,814607,814749,815081,815327,815851,821585,821955,	0	PLPPR3	cmpl	cmpl	0,0,2,1,0,0,0,-1,
591	ENST00000583431.1	chr19	+	813583	813653	813583	813583	1	813583,	813653,	0	MIR3187	none	none	-1,
591	ENST00000592205.5_1	chr19	+	825096	832017	828357	830986	4	825096,828229,829561,830707,	825197,828386,829706,832017,	0	AZU1	cmpl	cmpl	-1,0,2,0,
591	ENST00000233997.4_3	chr19	+	827836	832018	827846	831877	5	827836,828229,829561,830707,831715,	827904,828386,829706,830941,832018,	0	AZU1	cmpl	cmpl	0,1,2,0,0,
591	ENST00000234347.10_3	chr19	+	840998	848175	841008	847969	5	840998,843460,843892,846146,847798,	841069,843626,844034,846377,848175,	0	PRTN3	cmpl	cmpl	0,1,2,0,0,
591	ENST00000544537.2_1	chr19	+	843340	848175	843522	847969	4	843340,843892,846146,847798,	843626,844034,846377,848175,	0	PRTN3	cmpl	cmpl	0,2,0,0,
591	ENST00000590230.5_3	chr19	+	851013	856247	852328	856164	6	851013,852208,852875,853261,855563,855957,	851034,852395,853032,853403,855794,856247,	0	ELANE	cmpl	cmpl	-1,0,1,2,0,0,
591	ENST00000263621.2_4	chr19	+	852302	856243	852328	856164	5	852302,852875,853261,855563,855957,	852395,853032,853403,855794,856243,	0	ELANE	cmpl	cmpl	0,1,2,0,0,
591	ENST00000695942.1_1	chr19	+	859452	863450	860678	863238	5	859452,860616,860860,861698,863091,	859532,860773,861005,861956,863450,	0	CFD	cmpl	cmpl	-1,0,2,0,0,
591	ENST00000695943.1_1	chr19	+	859452	863450	860678	863238	5	859452,860616,860860,861698,863091,	859516,860773,861005,861956,863450,	0	CFD	cmpl	cmpl	-1,0,2,0,0,
591	ENST00000695944.1_1	chr19	+	859663	863448	860678	863238	5	859663,860616,860860,861698,863091,	859835,860773,861005,861956,863448,	0	CFD	cmpl	cmpl	-1,0,2,0,0,
591	ENST00000695945.1_1	chr19	+	859663	863449	859689	863238	5	859663,860616,860860,861749,863091,	859744,860773,861005,861956,863449,	0	CFD	cmpl	cmpl	0,1,2,0,0,
591	ENST00000592860.3_3	chr19	+	859663	863450	859689	863238	5	859663,860616,860860,861698,863091,	859765,860773,861005,861956,863450,	0	CFD	cmpl	cmpl	0,1,2,0,0,
591	ENST00000327726.11_9	chr19	+	859663	863641	859689	863238	5	859663,860616,860860,861698,863091,	859744,860773,861005,861956,863641,	0	CFD	cmpl	cmpl	0,1,2,0,0,
591	ENST00000395808.7_8	chr19	-	867629	893218	868372	891131	15	867629,868862,871036,871925,873448,875243,876973,879936,881558,884902,885769,889637,890136,890962,893085,	868499,868946,871253,872118,873582,875454,877180,880148,881714,885008,886201,889807,890244,891149,893218,	0	MED16	cmpl	cmpl	2,2,1,0,1,0,0,1,1,0,0,1,1,0,-1,
591	ENST00000312090.10_10	chr19	-	867852	893193	868372	891131	16	867852,868862,871036,871605,871925,873448,875243,876973,879936,881558,884902,885769,889637,890136,890962,893085,	868499,868946,871253,871662,872118,873582,875454,877180,880148,881714,885008,886201,889807,890244,891149,893193,	0	MED16	cmpl	cmpl	2,2,1,1,0,1,0,0,1,1,0,0,1,1,0,-1,
591	ENST00000325464.6_8	chr19	-	867962	893187	868100	891131	16	867962,868415,868862,871036,871925,873448,875243,876973,879936,881558,884902,885769,889637,890136,890962,893085,	868251,868499,868946,871253,872118,873582,875454,877180,880148,881714,885008,886201,889807,890244,891149,893187,	0	MED16	cmpl	cmpl	2,2,2,1,0,1,0,0,1,1,0,0,1,1,0,-1,
591	ENST00000384776.1	chr19	+	893483	893590	893483	893483	1	893483,	893590,	0	RNU6-9	none	none	-1,
591	ENST00000361574.10_8	chr19	-	896502	913219	897436	913157	8	896502,899439,899600,900060,900828,901421,901975,913086,	897540,899495,899686,900146,900952,901546,902130,913219,	0	R3HDM4	cmpl	cmpl	1,2,0,1,0,1,2,0,
591	ENST00000587975.2_6	chr19	-	896503	913245	897436	913157	8	896503,899439,899600,900060,900828,901421,901975,913086,	897540,899495,899686,900146,900952,901546,902067,913245,	0	R3HDM4	cmpl	cmpl	1,2,0,1,0,1,2,0,
591	ENST00000626716.1_4	chr19	-	902560	913157	902560	913157	2	902560,913086,	902627,913157,	0	R3HDM4	cmpl	cmpl	2,0,
73	ENST00000234371.10_3	chr19	+	917332	921005	917502	920748	5	917332,918543,919489,919873,920289,	917746,918668,919625,920106,921005,	0	KISS1R	cmpl	cmpl	0,1,0,1,0,
73	ENST00000606939.2_1	chr19	+	917502	920748	917502	920465	4	917502,918543,919489,920289,	917746,918668,919625,920748,	0	KISS1R	cmpl	cmpl	0,1,0,1,
592	ENST00000263620.3	chr19	+	925999	975939	929528	972065	9	925999,929261,932417,960091,964247,964832,966571,968404,971877,	926059,929896,932742,960164,964431,965080,966868,968503,975939,	0	ARID3A	cmpl	cmpl	-1,0,2,0,1,2,1,1,1,
592	ENST00000585647.2_4	chr19	-	928258	928817	928258	928258	2	928258,928719,	928488,928817,	0	ENSG00000267159	none	none	-1,-1,
592	ENST00000592216.1	chr19	+	928677	929363	928677	928677	2	928677,929261,	929145,929363,	0	ARID3A	none	none	-1,-1,
592	ENST00000613285.1_2	chr19	+	956484	958149	956484	956484	2	956484,958041,	956717,958149,	0	ENSG00000275162	none	none	-1,-1,
592	ENST00000587001.6_3	chr19	+	984331	994556	984353	994343	9	984331,985864,989761,990222,990851,991080,991226,991954,994211,	984563,985975,989895,990364,990995,991145,991351,992121,994556,	0	WDR18	cmpl	cmpl	0,0,0,2,0,0,2,1,0,
592	ENST00000585809.6_5	chr19	+	984344	994556	984353	994343	10	984344,985864,989761,990222,990851,991080,991226,991954,994018,994211,	984563,985975,989895,990364,990995,991145,991351,992121,994087,994556,	0	WDR18	cmpl	cmpl	0,0,0,2,0,0,2,1,0,0,
592	ENST00000588380.1_4	chr19	-	999794	1002756	999794	999794	3	999794,1002020,1002627,	1000166,1002160,1002756,	0	ENSG00000266990	none	none	-1,-1,-1,
592	ENST00000234389.3_3	chr19	+	1000417	1009731	1000436	1009601	9	1000417,1003128,1004519,1007626,1007854,1008138,1008616,1008855,1009171,	1000862,1003721,1005552,1007772,1007970,1008290,1008781,1008926,1009731,	0	GRIN3B	cmpl	cmpl	0,0,2,0,2,1,0,0,2,
592	ENST00000592590.6_5	chr19	-	1009648	1017419	1010884	1017412	10	1009648,1011094,1011365,1011739,1011890,1012064,1012461,1013239,1014190,1017277,	1010894,1011194,1011611,1011797,1011991,1012187,1012572,1013339,1014472,1017419,	0	TMEM259	cmpl	cmpl	2,1,1,0,1,1,1,0,0,0,
592	ENST00000333175.9_10	chr19	-	1009649	1021114	1010884	1020995	10	1009649,1011365,1011578,1011739,1011890,1012064,1012461,1013239,1014190,1020770,	1010894,1011498,1011662,1011797,1011991,1012187,1012572,1013339,1014472,1021114,	0	TMEM259	cmpl	cmpl	2,1,1,0,1,1,1,0,0,0,
592	ENST00000356663.8_13	chr19	-	1009651	1021122	1010348	1020995	11	1009651,1011094,1011365,1011578,1011739,1011890,1012064,1012461,1013239,1014190,1020770,	1010894,1011194,1011498,1011662,1011797,1011991,1012187,1012572,1013339,1014472,1021122,	0	TMEM259	cmpl	cmpl	0,2,1,1,0,1,1,1,0,0,0,
592	ENST00000610701.1_2	chr19	+	1010219	1010906	1010219	1010219	2	1010219,1010857,	1010610,1010906,	0	ENSG00000274177	none	none	-1,-1,
592	ENST00000384627.1	chr19	+	1021520	1021627	1021520	1021520	1	1021520,	1021627,	0	RNU6-2	none	none	-1,
592	ENST00000263097.9_4	chr19	+	1026606	1039064	1026660	1037899	7	1026606,1031069,1032390,1032557,1036128,1036414,1037623,	1026723,1031191,1032457,1032695,1036245,1036561,1039064,	0	CNN2	cmpl	cmpl	0,0,2,0,0,0,0,
